brand	product_name	price 
MSI	MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Ventus 3X 8G OC and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U0836180BHRDA	772$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TAORUS X-12GD	1,477$
MSI	MSI Ventus GeForce RTX 3090 24GB GDDR6X PCI Express 4.0 SLI Support Video Card RTX 3090 VENTUS 3X 24G OC and OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U163016CGDA	1,816$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TEAGLE OC-12GD	1,310$
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE Gaming GeForce RTX 3080 GAMING OC WATERFORCE WB 10GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N3080GAMINGOC WB-10GD	1,183$
GIGABYTE	GIGABYTE X570 AORUS ELITE AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE Eagle GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N306TEAGLE-8GD (rev. 2.0)	456$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB Video Card GV-N3070AORUS M-8GD and GIGABYTE Z590 VISION G LGA 1200 Intel Z590 ATX Motherboard with 4 x M.2 PCIe 4.0 USB 3.2 Gen2X2 Type-C 2.5GbE LAN	897$
MSI	MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Gaming X Trio 8G and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U0836180BHKDA	813$
MSI	MSI Ventus GeForce RTX 3090 24GB GDDR6X PCI Express 4.0 SLI Support Video Card RTX 3090 VENTUS 3X 24G OC and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U083016BGDA	1,762$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TAORUS M-12GD and GIGABYTE GP-P850GM 850W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active (>0.9 typical) PFC Power Supply	1,315$
MSI	MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING X TRIO and OLOy Blade RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model ND4U0836182BRWDE	736$
GIGABYTE	GIGABYTE X570 AORUS ELITE AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0)	553$
MSI	MSI Gaming Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX 6700 XT GAMING X 12G and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U0836180BHRDA	804$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TAORUS M-12GD	1,442$
GIGABYTE	GIGABYTE Z490 AORUS MASTER LGA 1200 Intel Z490 ATX Motherboard with Triple M.2 SATA 6Gb/s USB 3.2 Gen 2 WIFI 6 2.5 GbE LAN and GIGABYTE GeForce RTX 3080 GAMING OC 10GB Video Card GV-N3080GAMING OC-10GD	1,221$
MSI	MSI Ventus GeForce RTX 3090 24GB GDDR6X PCI Express 4.0 SLI Support Video Card RTX 3090 VENTUS 3X 24G OC and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U0836180BHRDA	1,777$
MSI	MSI Ventus GeForce RTX 3090 24GB GDDR6X PCI Express 4.0 SLI Support Video Card RTX 3090 VENTUS 3X 24G OC and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model ND4U0836161BHKDA	1,783$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060AORUS E-12GD (rev. 2.0) and GIGABYTE P750GM 750W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active PFC Power Supply	508$
GIGABYTE	GIGABYTE Z490 AORUS MASTER LGA 1200 Intel Z490 ATX Motherboard with Triple M.2 SATA 6Gb/s USB 3.2 Gen 2 WIFI 6 2.5 GbE LAN and GIGABYTE AORUS GeForce RTX 3080 XTREME 10GB Video Card GV-N3080AORUS X-10GD	1,259$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD and GIGABYTE GP-P850GM 850W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active (>0.9 typical) PFC Power Supply	843$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TEAGLE-12GD	1,137$
MSI	MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING X TRIO and OLOy Blade RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model ND4U0832162BRKDE	728$
ASUS	ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080TI-O12G-GAMING and ASUS TUF GAMING B550-PLUS (WI-FI) AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard	1,812$
GIGABYTE	GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TEAGLE OC-12GD and GIGABYTE Z590 UD LGA 1200 Intel Z590 ATX Motherboard with Triple M.2 PCIe 4.0 USB 3.2 Gen 2 2.5GbE LAN	1,222$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TAORUS M-12GD and GIGABYTE Z590 UD LGA 1200 Intel Z590 ATX Motherboard with Triple M.2 PCIe 4.0 USB 3.2 Gen 2 2.5GbE LAN	1,354$
GIGABYTE	GIGABYTE GeForce RTX 3090 GAMING OC 24G Video Card GV-N3090GAMING OC-24GD and GIGABYTE Z590I AORUS ULTRA LGA 1200 Intel Z590 Mini-ITX Motherboard with Dual M.2 PCIe 4.0 USB 3.2 Gen2X2 Type-C Intel WIFI 6 Intel i225V 2.5GbE	1,831$
MSI	MSI Gaming Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX 6700 XT GAMING X 12G and OLOy Blade RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model ND4U0836182BRWDE	805$
GIGABYTE	GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TGAMING OC-12GD and GIGABYTE Z590 UD LGA 1200 Intel Z590 ATX Motherboard with Triple M.2 PCIe 4.0 USB 3.2 Gen 2 2.5GbE LAN	1,266$
GIGABYTE	GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TEAGLE-12GD and GIGABYTE Z590 UD LGA 1200 Intel Z590 ATX Motherboard with Triple M.2 PCIe 4.0 USB 3.2 Gen 2 2.5GbE LAN	1,049$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB Video Card GV-N3070AORUS M-8GD and GIGABYTE Z590I AORUS ULTRA LGA 1200 Intel Z590 Mini-ITX Motherboard with Dual M.2 PCIe 4.0 USB 3.2 Gen2X2 Type-C Intel WIFI 6 Intel i225V 2.5GbE	901$
GIGABYTE	GIGABYTE B550 AORUS PRO AC AM4 AMD B550 ATX Motherboard with Dual M.2 SATA 6Gb/s USB 3.2 Gen 2 Intel 802.11ac 2.5 GbE LAN PCIe 4.0 and GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB Video Card GV-N3070AORUS M-8GD	833$
