brand	product_name	price 
MSI	MSI Gaming Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX 6700 XT GAMING X 12G and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U083016BGDA	789$
MSI	MSI Gaming Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX 6700 XT GAMING X 12G and OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U163016CGDA	843$
GIGABYTE	GIGABYTE GeForce RTX 3090 GAMING OC 24G Video Card GV-N3090GAMING OC-24GD and GIGABYTE Z590 VISION G LGA 1200 Intel Z590 ATX Motherboard with 4 x M.2 PCIe 4.0 USB 3.2 Gen2X2 Type-C 2.5GbE LAN	1,827$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3090 XTREME 24GB Video Card GV-N3090AORUS X-24GD and GIGABYTE Z590 VISION G LGA 1200 Intel Z590 ATX Motherboard with 4 x M.2 PCIe 4.0 USB 3.2 Gen2X2 Type-C 2.5GbE LAN	1,918$
MSI	MSI Gaming Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX 6700 XT GAMING X 12G and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model ND4U0836161BHKDA	810$
MSI	MSI Gaming Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX 6700 XT GAMING X 12G and OLOy Blade RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model ND4U0832162BRKDE	797$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3090 XTREME 24GB Video Card GV-N3090AORUS X-24GD and GIGABYTE Z590I AORUS ULTRA LGA 1200 Intel Z590 Mini-ITX Motherboard with Dual M.2 PCIe 4.0 USB 3.2 Gen2X2 Type-C Intel WIFI 6 Intel i225V 2.5GbE	1,922$
MSI	MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Gaming X Trio 8G and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U0836180BHRDA	810$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TGAMING OC-12GD	1,351$
GIGABYTE	GIGABYTE X570 AORUS ELITE AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE AORUS GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060AORUS E-12GD (rev. 2.0)	579$
